"Date","Price","Open","High","Low","Change %"
"07/15/2024","4.420","4.430","4.430","4.412","-0.23%"
"07/12/2024","4.430","4.450","4.450","4.400","-0.45%"
"07/11/2024","4.450","4.419","4.460","4.398","0.68%"
"07/10/2024","4.420","4.460","4.460","4.410","-0.90%"
"07/09/2024","4.460","4.420","4.460","4.379","0.90%"
"07/08/2024","4.420","4.410","4.420","4.410","0.45%"
"07/05/2024","4.400","4.410","4.420","4.400","-0.23%"
"07/04/2024","4.410","4.430","4.440","4.398","-0.45%"
"07/03/2024","4.430","4.440","4.440","4.400","-0.23%"
"07/02/2024","4.440","4.428","4.450","4.428","0.23%"
"06/28/2024","4.430","4.430","4.430","4.420","0.00%"
"06/27/2024","4.430","4.430","4.460","4.430","0.00%"
"06/26/2024","4.430","4.420","4.490","4.410","0.23%"
"06/25/2024","4.420","4.420","4.490","4.412","-0.23%"
"06/24/2024","4.430","4.420","4.450","4.420","0.68%"
"06/21/2024","4.400","4.400","4.420","4.379","0.00%"
"06/20/2024","4.400","4.330","4.400","4.330","0.69%"
"06/19/2024","4.370","4.390","4.391","4.359","-0.46%"
"06/18/2024","4.390","4.330","4.390","4.330","1.39%"
"06/17/2024","4.330","4.370","4.370","4.330","0.00%"
"06/14/2024","4.330","4.390","4.390","4.330","-1.37%"
"06/13/2024","4.390","4.380","4.390","4.360","0.23%"
"06/12/2024","4.380","4.378","4.380","4.349","0.02%"
"06/11/2024","4.379","4.359","4.379","4.330","-0.52%"
"06/10/2024","4.402","4.402","4.402","4.402","0.73%"
"06/07/2024","4.370","4.330","4.380","4.330","0.92%"
"06/06/2024","4.330","4.360","4.370","4.330","-0.69%"
"06/05/2024","4.360","4.341","4.370","4.341","0.51%"
"06/04/2024","4.338","4.301","4.338","4.301","0.93%"
"06/03/2024","4.298","4.360","4.360","4.298","-1.42%"
"05/31/2024","4.360","4.360","4.410","4.300","0.00%"
"05/30/2024","4.360","4.410","4.410","4.300","0.00%"
"05/29/2024","4.360","4.360","4.432","4.360","0.00%"
"05/28/2024","4.360","4.360","4.410","4.351","0.00%"
"05/27/2024","4.360","4.410","4.410","4.342","-1.13%"
"05/24/2024","4.410","4.380","4.420","4.378","0.68%"
"05/23/2024","4.380","4.381","4.398","4.300","0.00%"
"05/22/2024","4.380","4.419","4.419","4.299","-0.90%"
"05/21/2024","4.420","4.300","4.420","4.300","2.79%"
"05/20/2024","4.300","4.310","4.320","4.280","0.70%"
"05/17/2024","4.270","4.280","4.310","4.239","-0.23%"
"05/16/2024","4.280","4.260","4.281","4.251","-0.38%"
"05/15/2024","4.297","4.297","4.297","4.297","0.62%"
"05/14/2024","4.270","4.200","4.270","4.150","1.43%"
"05/13/2024","4.210","4.190","4.210","4.190","0.00%"
"05/10/2024","4.210","4.179","4.210","4.170","0.72%"
"05/09/2024","4.180","4.190","4.200","4.180","-0.24%"
"05/08/2024","4.190","4.180","4.192","4.150","0.24%"
"05/07/2024","4.180","4.191","4.191","4.170","0.24%"
"05/06/2024","4.170","4.190","4.230","4.170","-2.11%"
"05/03/2024","4.260","4.230","4.280","4.190","0.71%"
"05/02/2024","4.230","4.189","4.281","4.189","0.06%"
"05/01/2024","4.227","4.228","4.228","4.227","0.85%"
"04/30/2024","4.192","4.210","4.210","4.150","-0.43%"
"04/29/2024","4.210","4.130","4.210","4.130","1.91%"
"04/26/2024","4.131","4.130","4.160","4.110","0.02%"
"04/25/2024","4.130","4.101","4.160","4.101","0.71%"
"04/24/2024","4.101","4.101","4.150","4.080","0.00%"
"04/23/2024","4.101","4.162","4.170","4.101","-1.42%"
"04/22/2024","4.160","4.320","4.320","4.158","0.24%"
"04/19/2024","4.150","4.179","4.320","4.070","-0.72%"
"04/18/2024","4.180","4.260","4.320","4.180","-1.88%"
"04/17/2024","4.260","4.312","4.320","4.229","-1.16%"
"04/16/2024","4.310","4.178","4.310","4.178","3.11%"
"04/15/2024","4.180","4.180","4.180","4.180","-0.71%"
"04/12/2024","4.210","4.231","4.290","4.201","-0.47%"
"04/11/2024","4.230","4.250","4.250","4.220","-0.47%"
"04/10/2024","4.250","4.290","4.290","4.241","-0.93%"
"04/09/2024","4.290","4.310","4.340","4.281","-0.69%"
"04/08/2024","4.320","4.340","4.340","4.311","-0.44%"
"04/05/2024","4.339","4.352","4.360","4.339","-1.24%"
"04/04/2024","4.393","4.393","4.393","4.393","1.02%"
"04/03/2024","4.349","4.279","4.360","4.279","1.59%"
"04/02/2024","4.281","4.289","4.289","4.199","-1.11%"
"04/01/2024","4.329","4.328","4.329","4.328","0.01%"
"03/29/2024","4.328","4.328","4.328","4.328","0.66%"
"03/28/2024","4.300","4.298","4.390","4.289","-0.23%"
"03/27/2024","4.310","4.391","4.391","4.299","-1.84%"
"03/26/2024","4.391","4.370","4.391","4.350","0.25%"
"03/25/2024","4.380","4.360","4.380","4.359","0.64%"
"03/22/2024","4.352","4.290","4.360","4.290","0.51%"
"03/21/2024","4.330","4.331","4.331","4.289","0.00%"
"03/20/2024","4.330","4.312","4.330","4.299","0.46%"
"03/19/2024","4.310","4.191","4.310","4.190","2.62%"
"03/18/2024","4.200","4.190","4.202","4.180","0.24%"
"03/15/2024","4.190","4.179","4.200","4.179","0.24%"
"03/14/2024","4.180","4.180","4.180","4.172","0.00%"
"03/13/2024","4.180","4.150","4.180","4.150","0.48%"
"03/12/2024","4.160","4.110","4.160","4.101","1.00%"
"03/11/2024","4.119","4.119","4.119","4.119","0.22%"
"03/08/2024","4.110","4.110","4.118","4.110","0.02%"
"03/07/2024","4.109","4.101","4.109","4.101","1.43%"
"03/06/2024","4.051","4.080","4.080","4.051","-0.71%"
"03/05/2024","4.080","4.031","4.080","4.031","1.24%"
"03/04/2024","4.030","4.030","4.031","4.030","-0.47%"
"03/01/2024","4.049","4.060","4.060","4.030","-0.27%"
"02/29/2024","4.060","4.059","4.100","4.050","-0.98%"
"02/28/2024","4.100","4.051","4.100","4.051","1.21%"
"02/27/2024","4.051","4.070","4.130","4.051","-0.47%"
"02/26/2024","4.070","4.090","4.090","4.070","-0.76%"
"02/23/2024","4.101","4.148","4.148","4.090","-1.18%"
"02/22/2024","4.150","4.110","4.151","4.110","0.70%"
"02/21/2024","4.121","4.110","4.130","4.109","0.27%"
"02/20/2024","4.110","4.072","4.110","4.060","0.24%"
"02/19/2024","4.100","4.100","4.100","4.071","0.49%"
"02/16/2024","4.080","4.100","4.100","4.049","-0.49%"
"02/15/2024","4.100","4.060","4.100","4.051","-0.73%"
